title,genre,year,director
Relatos salvajes,"Comedy, Drama, Thriller",2014.0,Damián Szifron
Soul,"Animation, Adventure, Comedy",2020.0,Pete Docter
Kis Uykusu,Drama,2014.0,Nuri Bilge Ceylan
PK,"Comedy, Drama, Musical",2014.0,Rajkumar Hirani
OMG: Oh My God!,"Comedy, Drama, Fantasy",2012.0,Umesh Shukla
The Grand Budapest Hotel,"Adventure, Comedy, Crime",2014.0,Wes Anderson
Gone Girl,"Drama, Mystery, Thriller",2014.0,David Fincher
Ôkami kodomo no Ame to Yuki,"Animation, Drama, Fantasy",2012.0,Mamoru Hosoda
Hacksaw Ridge,"Biography, Drama, History",2016.0,Mel Gibson
Inside Out,"Animation, Adventure, Comedy",2015.0,Pete Docter
Barfi!,"Comedy, Drama, Romance",2012.0,Anurag Basu
12 Years a Slave,"Biography, Drama, History",2013.0,Steve McQueen
Rush,"Action, Biography, Drama",2013.0,Ron Howard
Ford v Ferrari,"Action, Biography, Drama",2019.0,James Mangold
Spotlight,"Biography, Crime, Drama",2015.0,Tom McCarthy
Song of the Sea,"Animation, Adventure, Drama",2014.0,Tomm Moore
Kahaani,"Mystery, Thriller",2012.0,Sujoy Ghosh
Zindagi Na Milegi Dobara,"Comedy, Drama",2011.0,Zoya Akhtar
Prisoners,"Crime, Drama, Mystery",2013.0,Denis Villeneuve
Mad Max: Fury Road,"Action, Adventure, Sci-Fi",2015.0,George Miller
A Wednesday,"Action, Crime, Drama",2008.0,Neeraj Pandey
Gran Torino,Drama,2008.0,Clint Eastwood
Harry Potter and the Deathly Hallows: Part 2,"Adventure, Drama, Fantasy",2011.0,David Yates
Okuribito,"Drama, Music",2008.0,Yôjirô Takita
Hachi: A Dog's Tale,"Biography, Drama, Family",2009.0,Lasse Hallström
Mary and Max,"Animation, Comedy, Drama",2009.0,Adam Elliot
How to Train Your Dragon,"Animation, Action, Adventure",2010.0,Dean DeBlois
Into the Wild,"Adventure, Biography, Drama",2007.0,Sean Penn
No Country for Old Men,"Crime, Drama, Thriller",2007.0,Ethan Coen
Lage Raho Munna Bhai,"Comedy, Drama, Romance",2006.0,Rajkumar Hirani
Million Dollar Baby,"Drama, Sport",2004.0,Clint Eastwood
Hotel Rwanda,"Biography, Drama, History",2004.0,Terry George
