title,genre,year,director
In America,Drama,2002.0,Jim Sheridan
I Am Sam,Drama,2001.0,Jessie Nelson
Adaptation.,"Comedy, Drama",2002.0,Spike Jonze
Black Hawk Down,"Drama, History, War",2001.0,Ridley Scott
Road to Perdition,"Crime, Drama, Thriller",2002.0,Sam Mendes
Das Experiment,"Drama, Thriller",2001.0,Oliver Hirschbiegel
Billy Elliot,"Drama, Music",2000.0,Stephen Daldry
Hedwig and the Angry Inch,"Comedy, Drama, Music",2001.0,John Cameron Mitchell
Ocean's Eleven,"Crime, Thriller",2001.0,Steven Soderbergh
Vampire Hunter D: Bloodlust,"Animation, Action, Fantasy",2000.0,Yoshiaki Kawajiri
"O Brother, Where Art Thou?","Adventure, Comedy, Crime",2000.0,Joel Coen
Interstate 60: Episodes of the Road,"Adventure, Comedy, Drama",2002.0,Bob Gale
Training Day,"Crime, Drama, Thriller",2001.0,Antoine Fuqua
Dark Waters,"Biography, Drama, History",2019.0,Todd Haynes
Searching,"Drama, Mystery, Thriller",2018.0,Aneesh Chaganty
Once Upon a Time... in Hollywood,"Comedy, Drama",2019.0,Quentin Tarantino
Nelyubov,Drama,2017.0,Andrey Zvyagintsev
The Florida Project,Drama,2017.0,Sean Baker
Just Mercy,"Biography, Crime, Drama",2019.0,Destin Daniel Cretton
Gifted,Drama,2017.0,Marc Webb
The Peanut Butter Falcon,"Adventure, Comedy, Drama",2019.0,Tyler Nilson
Victoria,"Crime, Drama, Romance",2015.0,Sebastian Schipper
Mustang,Drama,2015.0,Deniz Gamze Ergüven
Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy",2017.0,James Gunn
Baby Driver,"Action, Crime, Drama",2017.0,Edgar Wright
Only the Brave,"Action, Biography, Drama",2017.0,Joseph Kosinski
Bridge of Spies,"Drama, History, Thriller",2015.0,Steven Spielberg
Incredibles 2,"Animation, Action, Adventure",2018.0,Brad Bird
Moana,"Animation, Adventure, Comedy",2016.0,Ron Clements
Sicario,"Action, Crime, Drama",2015.0,Denis Villeneuve
Creed,"Drama, Sport",2015.0,Ryan Coogler
Leviafan,"Crime, Drama",2014.0,Andrey Zvyagintsev
Hell or High Water,"Action, Crime, Drama",2016.0,David Mackenzie
Philomena,"Biography, Comedy, Drama",2013.0,Stephen Frears
Dawn of the Planet of the Apes,"Action, Adventure, Drama",2014.0,Matt Reeves
El cuerpo,"Mystery, Thriller",2012.0,Oriol Paulo
Serbuan maut,"Action, Thriller",2011.0,Gareth Evans
End of Watch,"Action, Crime, Drama",2012.0,David Ayer
Kari-gurashi no Arietti,"Animation, Adventure, Family",2010.0,Hiromasa Yonebayashi
A Star Is Born,"Drama, Music, Romance",2018.0,Bradley Cooper
True Grit,"Drama, Western",2010.0,Ethan Coen
Hævnen,"Drama, Romance",2010.0,Susanne Bier
Despicable Me,"Animation, Comedy, Crime",2010.0,Pierre Coffin
50/50,"Comedy, Drama, Romance",2011.0,Jonathan Levine
Kick-Ass,"Action, Comedy, Crime",2010.0,Matthew Vaughn
Celda 211,"Action, Adventure, Crime",2009.0,Daniel Monzón
Moneyball,"Biography, Drama, Sport",2011.0,Bennett Miller
La piel que habito,"Drama, Horror, Thriller",2011.0,Pedro Almodóvar
Zombieland,"Adventure, Comedy, Fantasy",2009.0,Ruben Fleischer
Die Welle,"Drama, Thriller",2008.0,Dennis Gansel
Sherlock Holmes,"Action, Adventure, Mystery",2009.0,Guy Ritchie
The Blind Side,"Biography, Drama, Sport",2009.0,John Lee Hancock
The Visitor,Drama,2007.0,Tom McCarthy
Seven Pounds,Drama,2008.0,Gabriele Muccino
Eastern Promises,"Action, Crime, Drama",2007.0,David Cronenberg
Stardust,"Adventure, Family, Fantasy",2007.0,Matthew Vaughn
The Secret of Kells,"Animation, Adventure, Family",2009.0,Tomm Moore
Inside Man,"Crime, Drama, Mystery",2006.0,Spike Lee
Gone Baby Gone,"Crime, Drama, Mystery",2007.0,Ben Affleck
La Vie En Rose,"Biography, Drama, Music",2007.0,Olivier Dahan
Huo Yuan Jia,"Action, Biography, Drama",2006.0,Ronny Yu
The Illusionist,"Drama, Fantasy, Mystery",2006.0,Neil Burger
Dead Man's Shoes,"Crime, Drama, Thriller",2004.0,Shane Meadows
Harry Potter and the Half-Blood Prince,"Action, Adventure, Family",2009.0,David Yates
300,"Action, Drama",2006.0,Zack Snyder
Match Point,"Drama, Romance, Thriller",2005.0,Woody Allen
Watchmen,"Action, Drama, Mystery",2009.0,Zack Snyder
Lord of War,"Action, Crime, Drama",2005.0,Andrew Niccol
Saw,"Horror, Mystery, Thriller",2004.0,James Wan
"Synecdoche, New York",Drama,2008.0,Charlie Kaufman
Mysterious Skin,Drama,2004.0,Gregg Araki
Jeux d'enfants,"Comedy, Drama, Romance",2003.0,Yann Samuell
Un long dimanche de fiançailles,"Drama, Mystery, Romance",2004.0,Jean-Pierre Jeunet
The Station Agent,"Comedy, Drama",2003.0,Tom McCarthy
21 Grams,"Crime, Drama, Thriller",2003.0,Alejandro G. Iñárritu
Boksuneun naui geot,"Crime, Drama, Thriller",2002.0,Chan-wook Park
Finding Neverland,"Biography, Drama, Family",2004.0,Marc Forster
25th Hour,Drama,2002.0,Spike Lee
The Butterfly Effect,"Drama, Sci-Fi, Thriller",2004.0,Eric Bress
28 Days Later...,"Drama, Horror, Sci-Fi",2002.0,Danny Boyle
Batoru rowaiaru,"Action, Adventure, Drama",2000.0,Kinji Fukasaku
The Royal Tenenbaums,"Comedy, Drama",2001.0,Wes Anderson
Y tu mamá también,Drama,2001.0,Alfonso Cuarón
Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy",2001.0,Chris Columbus
The Others,"Horror, Mystery, Thriller",2001.0,Alejandro Amenábar
Blow,"Biography, Crime, Drama",2001.0,Ted Demme
Enemy at the Gates,"Drama, History, War",2001.0,Jean-Jacques Annaud
Minority Report,"Action, Crime, Mystery",2002.0,Steven Spielberg
American Psycho,"Comedy, Crime, Drama",2000.0,Mary Harron
